DRO PID, Title, Publication Type, Authors, ISSN, Parent Publication,Fields Of Research, Publication Year, Scopus Citation Count, Web of Science Citation Count, Journal Impact Factor, SJR, Abstract Views, File Downloads, URL, Open Access
DU:30115724,Blue carbon in coastal landscapes: a spatial framework for assessment of stocks and additionality,Journal Article,"Rogers, K;Macreadie, Peter;Kelleway, JJ;Saintilan, N",1862-4057,Sustainability Science,"MD Multidisciplinary,MD Multidisciplinary",2018,,,3.429,1.096,0,0,http://dro.deakin.edu.au/view/DU:30115724,FALSE
DU:30076242,"Design of 1,2-dioxines with anti-Candida activity: aromatic substituted 1,2-dioxines",Journal Article,"Macreadie, Ian G.;Avery, Thomas D.;Robinson, Tony V.;Macreadie, Peter;Barraclough, Miles;Taylor, Dennis K.;Tiekink, Edward R.T.",0040-4020,Tetrahedron,030503 Organic Chemical Synthesis,2008,8,,2.651,0.907,166,1,http://dro.deakin.edu.au/view/DU:30076242,FALSE
DU:30083086,Can mud (silt and clay) concentration be used to predict soil organic carbon content within seagrass ecosystems?,Journal Article,"Serrano, Oscar;Lavery, Paul S.;Duarte, Carlos M.;Kendrick, Gary A.;Calafat, Antoni;York, Paul;Steven, Andy;Macreadie, Peter",1810-6285,Biogeosciences,"060205 Marine and Estuarine Ecology (incl Marine Ichthyology),060701 Phycology (incl Marine Grasses)",2016,,14,,0.17,168,120,http://dro.deakin.edu.au/view/DU:30083086,TRUE
DU:30108005,New tools to identify the location of seagrass meadows: marine grazers as habitat indicators,Journal Article,"Hays, Graeme C.;Alcoverro, Teresa;Christianen, Marjolijn J. A.;Duarte, Carlos M.;Hamann, Mark;Macreadie, Peter I.;Marsh, Helene D.;Rasheed, Michael A.;Thums, Michele;Unsworth, Richard K. F.;York, Paul H.;Esteban, Nicole",2296-7745,Frontiers in marine science,,2018,1,,,0.173,88,12,http://dro.deakin.edu.au/view/DU:30108005,TRUE
DU:30076230,Holocene record of Tuggerah Lake estuary development on the Australian east coast: sedimentary responses to sea-level fluctuations and climate variability,Journal Article,"Macreadie, Peter I.;Rolph, Timothy C.;Schröder-Adams, Claudia;Boyd, Ron;Skilbeck, Charles G.",2214-2428,GeoResJ,060205 Marine and Estuarine Ecology (incl Marine Ichthyology),2015,3,,,0.615,195,13,http://dro.deakin.edu.au/view/DU:30076230,TRUE
DU:30096893,Sediment sampling in estuaries: site selection and sampling techniques,Book Chapter,"Skilbeck, C. Gregory;Trevathan-Tackett, Stacey;Apichanangkool, Pemika;Macreadie, Peter I.",,Applications of paleoenvironmental techniques in estuarine studies,"060205 Marine and Estuarine Ecology (incl Marine Ichthyology),050203 Environmental Education and Extension",2017,,1,,,149,1,http://dro.deakin.edu.au/view/DU:30096893,FALSE
DU:30103150,Commentary: evaluating the role of seagrass in cenozoic CO₂ variations,Journal Article,"Macreadie, Peter;Serrano, Oscar;Duarte, Carlos M.;Beardall, John;Maher, Damien",,Frontiers in environmental science,"050206 Environmental Monitoring,050205 Environmental Management",2017,2,,,,8,4,http://dro.deakin.edu.au/view/DU:30103150,TRUE
DU:30103452,Seagrass resilience in Port Phillip Bay: final report to the seagrass and reefs program for Port Phillip Bay,Report,"Jenkins, GP;Keough, MJ;Ball, D;Cook, P;Ferguson, A;Gay, J;Hirst, Alastair;Lee, R;Longmore, A;Macreadie, Peter;Nayar, S;Sherman, Craig;Smith, Timothy;Ross, J;York, P",,,060701 Phycology (incl Marine Grasses),2015,,,,,19,2,http://dro.deakin.edu.au/view/DU:30103452,FALSE
DU:30108119,"Seagrasses and macroalgae: importance, vulnerability and impacts",Book Chapter,"Bellgrove, Alecia;Macreadie, Peter;Jarvis, Jessie;Trevathan-Tackett, Stacey",,Climate change impacts on fisheries and aquaculture a global analysis,,2018,,,,,71,1,http://dro.deakin.edu.au/view/DU:30108119,FALSE
DU:30117108,"Understanding the global scientific value of industry ROV data, to quantify marine ecology and guide offshore decommissioning strategies",Conference Paper,"McLean, DL;Macreadie, Peter;White, DJ;Thomson, PG;Fowler, A;Gates, AR;Benfield, M;Horton, T;Skropeta, D;Bond, T;Booth, DJ;Techera, E;Pattiaratchi, C;Collin, SP;Jones, DOB;Smith, L;Partridge, JC",,"Offshore Technology Conference Asia 2018, OTCA 2018",,2018,,,,,0,0,http://dro.deakin.edu.au/view/DU:30117108,FALSE
DU:30114048,Predators shape sedimentary organic carbon storage in a coral reef ecosystem,Journal Article,"Atwood, Trisha B.;Madin, Elizabeth M. P.;Harborne, Alastair R.;Hammill, Edd;Luiz, Osmar J.;Ollivier, Quinn R.;Roelfsema, Chris M.;Macreadie, Peter I.;Lovelock, Catherine E.",,Frontiers in ecology and evolution,,2018,2,,,,16,4,http://dro.deakin.edu.au/view/DU:30114048,TRUE
DU:30049271,Effects of moderate nutrient enrichment on seagrass trophic pathways,Conference Paper,"York, Paul;Booth, David;Macreadie, Peter;Kelaher, Brendan",,AMSA-NZMSS 2012 : Marine & everything in between extremes : Proceedings of the 2012 Australian Marine Sciences Association and New Zealand Marine Sciences Society Conference,059999 Environmental Sciences not elsewhere classified,2012,,,,,46,2,http://dro.deakin.edu.au/view/DU:30049271,FALSE
