URL,Publication Year,article_title,Authors,Parent Publication,Fields Of Research,Categories,SJR,SJR Best Quartile,H index,Journal Impact Factor,Scopus Citation Count,Web of Science Citation Count,Abstract Views,File Downloads,DRO PID,ISSN,Publication Type,Open Access
http://dro.deakin.edu.au/view/DU:30073635,2012,New horizons for managing the environment: a review of coupled social-ecological systems modeling,"Schlüter, M;McAllister, RRJ;Arlinghaus, R;Bunnefeld, N;Eisenack, K;Hölker, F;Milner-Gulland, EJ;Müller, B;Nicholson, Emily;Quaas, M;Stöven, M",Natural resource modeling,"050202 Conservation and Biodiversity,0502 Environmental Science And Management,0102 Applied Mathematics,050202 Conservation and Biodiversity,0502 Environmental Science And Management,0102 Applied Mathematics","Environmental Science (miscellaneous) (Q3)
Modeling and Simulation (Q3)",0.250,Q3,13,0.426,142,137,112,2,DU:30073635,08908575,Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30073643,2006,Objectives for multiple-species conservation planning,"Nicholson, Emily;Possingham, Hugh P.",Conservation biology,"050202 Conservation and Biodiversity,05 Environmental Sciences,06 Biological Sciences,07 Agricultural And Veterinary Sciences","Ecology (Q1)
Ecology, Evolution, Behavior and Systematics (Q1)
Medicine (miscellaneous) (Q1)
Nature and Landscape Conservation (Q1)",3.081,Q1,194,4.842,86,81,60,1,DU:30073643,"08888892, 08888892, 15231739, 15231739, 15231739, 15231739, 15231739",Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30114067,2019,Optimal planning to mitigate the impacts of roads on multiple species,"Polak, Tal;Nicholson, Emily;Grilo, Clara;Bennett, Joseph R.;Possingham, Hugh P.",Journal of applied ecology,"0501 Ecological Applications,0502 Environmental Science And Management,0602 Ecology",Ecology (Q1),3.062,Q1,151,5.301,0,0,48,0,DU:30114067,"00218901, 00218901, 00218901, 00218901, 00218901, 00218901, 13652664, 13652664, 13652664, 13652664, 13652664, 13652664, 00218901, 00218901, 00218901, 00218901, 00218901, 00218901, 13652664, 13652664, 13652664, 13652664, 13652664, 13652664",Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30114032,2018,Optimal soil carbon sampling designs to achieve cost-effectiveness: a case study in blue carbon ecosystems,"Young, Mary;Macreadie, Peter;Duncan, Clare;Carnell, Paul;Nicholson, Emily;Serrano, Oscar;Duarte, Carlos M.;Shiell, Glenn;Baldock, Jeff;Ierodiaconou, Daniel",Biology letters,06 Biological Sciences,Agricultural and Biological Sciences (miscellaneous) (Q1),1.914,Q1,88,3.089,0,0,43,0,DU:30114032,1744957X,Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30073648,2007,Principles of landscape design that emerge from a formal problem-solving approach,"Possingham,HP;Nicholson,E",Managing and designing landscapes for conservation: moving from perspectives to principles,050202 Conservation and Biodiversity,NA,NA,NA,NA,NA,2,5,247,1,DU:30073648,"NA",Book Chapter,FALSE
http://dro.deakin.edu.au/view/DU:30073644,2009,Priority research areas for ecosystem services in a changing world,"Nicholson, Emily;Mace, Georgina M.;Armsworth, Paul R.;Atkinson, Giles;Buckle, Simon;Clements, Tom;Ewers, Robert M.;Fa, John E.;Gardner, Toby A.;Gibbons, James;Grenyer, Richard;Metcalfe, Robert;Mourato, Susana;Muûls, Mirabelle;Osborn, Dan;Reuman, Daniel C.;Watson, Charlene;Milner-Gulland, E. J.",Journal of applied ecology,"050202 Conservation and Biodiversity,0501 Ecological Applications,0502 Environmental Science And Management,0602 Ecology",Ecology (Q1),3.062,Q1,151,5.301,111,97,122,1,DU:30073644,"00218901, 00218901, 00218901, 00218901, 00218901, 00218901, 13652664, 13652664, 13652664, 13652664, 13652664, 13652664, 00218901, 00218901, 00218901, 00218901, 00218901, 00218901, 13652664, 13652664, 13652664, 13652664, 13652664, 13652664",Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30074774,2015,"Quantifying the short-term costs of conservation interventions for fishers at Lake Alaotra, Madagascar","Wallace, Andrea P;Milner-Gulland, EJ;Jones, Julia P;Bunnefeld, Nils;Young, Richard;Nicholson, Emily",PLoS one,"050202 Conservation and Biodiversity,MD Multidisciplinary","Agricultural and Biological Sciences (miscellaneous) (Q1)
Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)
Medicine (miscellaneous) (Q1)",1.164,Q1,241,2.806,5,5,220,43,DU:30074774,"19326203, 19326203",Journal Article,TRUE
http://dro.deakin.edu.au/view/DU:30119032,2019,Redlistr: tools for the IUCN Red Lists of ecosystems and threatened species in R,"Lee, CKF;Keith, DA;Nicholson, Emily;Murray, NJ",Ecography,"0501 Ecological Applications,0502 Environmental Science And Management,0602 Ecology,0501 Ecological Applications,0502 Environmental Science And Management,0602 Ecology","Ecology, Evolution, Behavior and Systematics (Q1)",2.618,Q1,103,4.902,NA,NA,0,0,DU:30119032,09067590,Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30113684,2018,"Remembering Dr. Ben Collen, an exemplary conservation biologist.","Mace, GM;Milner-Gulland, EJ;Nicholson, Emily",Conserv Biol,"05 Environmental Sciences,06 Biological Sciences,07 Agricultural And Veterinary Sciences","Ecology (Q1)
Ecology, Evolution, Behavior and Systematics (Q1)
Medicine (miscellaneous) (Q1)
Nature and Landscape Conservation (Q1)",3.081,Q1,194,4.842,NA,NA,0,0,DU:30113684,"15231739, 15231739",Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30073640,2010,Satellite imagery as a single source of predictor variables for habitat suitability modelling: how Landsat can inform the conservation of a critically endangered lemur,"Lahoz-Monfort, Jose´ J.;Guillera-Arroita, Gurutzeta;Milner-Gulland, E. J.;Young, Richard P.;Nicholson, Emily",Journal of applied ecology,050202 Conservation and Biodiversity,Ecology (Q1),3.062,Q1,151,5.301,23,23,185,2,DU:30073640,"00218901, 00218901, 00218901, 00218901, 00218901, 00218901, 13652664, 13652664, 13652664, 13652664, 13652664, 13652664, 00218901, 00218901, 00218901, 00218901, 00218901, 00218901, 13652664, 13652664, 13652664, 13652664, 13652664, 13652664",Journal Article,FALSE
