URL,Publication Year,article_title,Authors,Parent Publication,Fields Of Research,Categories,Scopus Citation Count,Web of Science Citation Count,Journal Impact Factor,Abstract Views,File Downloads,SJR,SJR Best Quartile,H index,DRO PID,ISSN,Publication Type,Open Access
http://dro.deakin.edu.au/view/DU:30090814,2016,Spatial variation in avian bill size is associated with humidity in summer among Australian passerines,"Gardner, Janet L.;Symonds, Matthew R.E.;Joseph, Leo;Ikin, Karen;Stein, John;Kruuk, Loeske E.B.",Climate change responses,"060303 Biological Adaptation,060303 Biological Adaptation",NA,NA,NA,NA,156,42,NA,NA,NA,DU:30090814,"NA",Journal Article,TRUE
http://dro.deakin.edu.au/view/DU:30039066,2004,"Species overlap, speciation and the evolution of aggregation pheromones in bark beetles","Symonds, Matthew R. E.;Elgar, Mark A.",Ecology letters,"060201 Behavioural Ecology,060309 Phylogeny and Comparative Analysis,060808 Invertebrate Biology,060201 Behavioural Ecology,060309 Phylogeny and Comparative Analysis,060808 Invertebrate Biology","Ecology, Evolution, Behavior and Systematics (Q1)",27,25,9.449,302,1,6.825,Q1,219,DU:30039066,1461023X,Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30039071,2008,Species richness and evenness in Australian birds,"Symonds, Matthew R. E.;Johnson, Christopher N.",American naturalist,"060202 Community Ecology (excl Invasive Species Ecology),060809 Vertebrate Biology","Ecology, Evolution, Behavior and Systematics (Q1)",24,21,4.167,506,58,2.661,Q1,181,DU:30039071,"00030147, 00030147, 15375323, 15375323, 15375323, 00030147, 00030147, 15375323, 15375323, 15375323",Journal Article,TRUE
http://dro.deakin.edu.au/view/DU:30082127,2016,Tests of ecogeographical relationships in a non-native species: what rules avian morphology?,"Cardilini, Adam P. A.;Buchanan, Katherine L.;Sherman, Craig D. H.;Cassey, Phillip;Symonds, Matthew R. E.",Oecologia,"060208 Terrestrial Ecology,060302 Biogeography and Phylogeography,060806 Animal Physiological Ecology,0602 Ecology","Ecology, Evolution, Behavior and Systematics (Q1)",8,8,3.13,274,7,1.695,Q1,167,DU:30082127,"00298549, 14321939, 14321939",Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30039060,2002,The effects of topological inaccuracy in evolutionary trees on the phylogenetic comparative method of independent contrasts,"Symonds, Matthew R. E.",Systematic biology,"060309 Phylogeny and Comparative Analysis,060309 Phylogeny and Comparative Analysis","Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)",46,44,8.917,271,1,5.384,Q1,160,DU:30039060,10635157,Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30082128,2016,The evolution of aggregation pheromone diversity in bark beetles,"Symonds, M.R.E.;Gitau-Clarke, C.W.",Advances in insect physiology: pine bark beetles,"060309 Phylogeny and Comparative Analysis,060808 Invertebrate Biology,0608 Zoology",Insect Science (Q1),3,5,NA,206,3,1.938,Q1,34,DU:30082128,"00652806, NA, 00652806, NA",Book Chapter,FALSE
http://dro.deakin.edu.au/view/DU:30058877,2013,"The evolution of body size, antennal size and host use in parasitoid wasps (hymenoptera: chalcidoidea): a phylogenetic comparative analysis","Symonds, Matthew R.E.;Elgar, Mark A.",PLoS one,"060201 Behavioural Ecology,060309 Phylogeny and Comparative Analysis,060808 Invertebrate Biology","Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)",8,5,2.806,290,14,1.164,Q1,241,DU:30058877,"19326203, 19326203",Journal Article,TRUE
http://dro.deakin.edu.au/view/DU:30039067,2008,The evolution of pheromone diversity,"Symonds, Matthew R. E.;Elgar, Mark A.",Trends in ecology and evolution,060201 Behavioural Ecology,"Ecology, Evolution, Behavior and Systematics (Q1)",196,180,15.268,316,2,8.634,Q1,295,DU:30039067,"01695347, 01695347, 18728383, 18728383, 01695347, 01695347, 18728383, 18728383",Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30039072,2009,The evolution of sex pheromones in an ecologically diverse genus of flies,"Symonds, Matthew R. E.;Moussalli, Adnan;Elgar, Mark A.",Biological journal of the Linnean Society,"060201 Behavioural Ecology,060309 Phylogeny and Comparative Analysis,060808 Invertebrate Biology","Ecology, Evolution, Behavior and Systematics (Q1)",29,29,2.288,296,3,1.175,Q1,98,DU:30039072,"00244066, 00244066, 10958312, 10958312, 00244066, 00244066, 10958312, 10958312",Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30088482,2017,The evolution of the avian bill as a thermoregulatory organ,"Tattersall, Glenn J.;Arnaout, Bassel;Symonds, Matthew R. E.",Biological reviews,"060399 Evolutionary Biology not elsewhere classified,06 Biological Sciences,060399 Evolutionary Biology not elsewhere classified,06 Biological Sciences","Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)",18,16,11.615,144,1,4.900,Q1,132,DU:30088482,"14647931, 1469185X, 1469185X",Journal Article,FALSE
