DRO PID,article_title,Publication Type,Authors,Parent Publication,Fields Of Research,Publication Year,Scopus Citation Count,Web of Science Citation Count,Journal Impact Factor,SJR.x,Abstract Views,File Downloads,URL,Open Access,ISSN,Rank,Sourceid,journal_title,Type,SJR.y,SJR Best Quartile,H index,Total Docs. (2017),Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Country,Publisher,Categories,Quartiles
DU:30072028,No detectable impact of small-scale disturbances on ‘blue carbon’ within seagrass beds,Journal Article,"Macreadie,PI;York,PH;Sherman,CDH;Keough,MJ;Ross,DJ;Ricart,AM;Smith,TM",Marine biology,060205 Marine and Estuarine Ecology (incl Marine Ichthyology),2014,18,17,2.136,1.198,241,2,http://dro.deakin.edu.au/view/DU:30072028,FALSE,"00253162, 14321793",3916,12165,Marine Biology,journal,1085,Q1,103,226,735,14471,1676,702,"2,27","64,03",Germany,Springer Verlag,Aquatic Science ,1
DU:30072028,No detectable impact of small-scale disturbances on ‘blue carbon’ within seagrass beds,Journal Article,"Macreadie,PI;York,PH;Sherman,CDH;Keough,MJ;Ross,DJ;Ricart,AM;Smith,TM",Marine biology,060205 Marine and Estuarine Ecology (incl Marine Ichthyology),2014,18,17,2.136,1.198,241,2,http://dro.deakin.edu.au/view/DU:30072028,FALSE,"00253162, 14321793",3916,12165,Marine Biology,journal,1085,Q1,103,226,735,14471,1676,702,"2,27","64,03",Germany,Springer Verlag,Ecology ,1
DU:30072028,No detectable impact of small-scale disturbances on ‘blue carbon’ within seagrass beds,Journal Article,"Macreadie,PI;York,PH;Sherman,CDH;Keough,MJ;Ross,DJ;Ricart,AM;Smith,TM",Marine biology,060205 Marine and Estuarine Ecology (incl Marine Ichthyology),2014,18,17,2.136,1.198,241,2,http://dro.deakin.edu.au/view/DU:30072028,FALSE,"00253162, 14321793",3916,12165,Marine Biology,journal,1085,Q1,103,226,735,14471,1676,702,"2,27","64,03",Germany,Springer Verlag,"Ecology, Evolution, Behavior and Systematics ",1
DU:30072030,Seagrass viviparous propagules as a potential long-distance dispersal mechanism,Journal Article,"Thomson, Alexandra C. G.;York, Paul H.;Smith, Timothy M.;Sherman, Craig D. H.;Booth, David J.;Keough, Michael J.;Ross, D. Jeff;Macreadie, Peter I.",Estuaries and coasts,060205 Marine and Estuarine Ecology (incl Marine Ichthyology),2015,17,16,2.182,1.064,266,3,http://dro.deakin.edu.au/view/DU:30072030,FALSE,"15592723, 15592723, 15592731, 15592731, 15592723, 15592723, 15592731, 15592731",3382,4700152445,Estuaries and Coasts,journal,1187,Q1,88,178,454,8778,1118,438,"2,25","49,31",United States,Springer New York LLC,Aquatic Science ,1
DU:30072030,Seagrass viviparous propagules as a potential long-distance dispersal mechanism,Journal Article,"Thomson, Alexandra C. G.;York, Paul H.;Smith, Timothy M.;Sherman, Craig D. H.;Booth, David J.;Keough, Michael J.;Ross, D. Jeff;Macreadie, Peter I.",Estuaries and coasts,060205 Marine and Estuarine Ecology (incl Marine Ichthyology),2015,17,16,2.182,1.064,266,3,http://dro.deakin.edu.au/view/DU:30072030,FALSE,"15592723, 15592723, 15592731, 15592731, 15592723, 15592723, 15592731, 15592731",3382,4700152445,Estuaries and Coasts,journal,1187,Q1,88,178,454,8778,1118,438,"2,25","49,31",United States,Springer New York LLC,Ecology ,1
DU:30072030,Seagrass viviparous propagules as a potential long-distance dispersal mechanism,Journal Article,"Thomson, Alexandra C. G.;York, Paul H.;Smith, Timothy M.;Sherman, Craig D. H.;Booth, David J.;Keough, Michael J.;Ross, D. Jeff;Macreadie, Peter I.",Estuaries and coasts,060205 Marine and Estuarine Ecology (incl Marine Ichthyology),2015,17,16,2.182,1.064,266,3,http://dro.deakin.edu.au/view/DU:30072030,FALSE,"15592723, 15592723, 15592731, 15592731, 15592723, 15592723, 15592731, 15592731",3382,4700152445,Estuaries and Coasts,journal,1187,Q1,88,178,454,8778,1118,438,"2,25","49,31",United States,Springer New York LLC,"Ecology, Evolution, Behavior and Systematics ",1
DU:30072193,Quantifying and modelling the carbon sequestration capacity of seagrass meadows-a critical assessment,Journal Article,"Macreadie,PI;Baird,ME;Trevathan-Tackett,SM;Larkum,AW;Ralph,PJ",Marine pollution bulletin,060205 Marine and Estuarine Ecology (incl Marine Ichthyology),2014,71,52,3.146,1.302,244,3,http://dro.deakin.edu.au/view/DU:30072193,FALSE,"0025326X, 18793363, 18793363, 18793363, 18793363",3592,24024,Marine Pollution Bulletin,journal,1147,Q1,136,906,2154,43607,7238,2028,"3,30","48,13",United Kingdom,Elsevier Ltd.,Aquatic Science ,1
DU:30072193,Quantifying and modelling the carbon sequestration capacity of seagrass meadows-a critical assessment,Journal Article,"Macreadie,PI;Baird,ME;Trevathan-Tackett,SM;Larkum,AW;Ralph,PJ",Marine pollution bulletin,060205 Marine and Estuarine Ecology (incl Marine Ichthyology),2014,71,52,3.146,1.302,244,3,http://dro.deakin.edu.au/view/DU:30072193,FALSE,"0025326X, 18793363, 18793363, 18793363, 18793363",3592,24024,Marine Pollution Bulletin,journal,1147,Q1,136,906,2154,43607,7238,2028,"3,30","48,13",United Kingdom,Elsevier Ltd.,Oceanography ,1
DU:30072193,Quantifying and modelling the carbon sequestration capacity of seagrass meadows-a critical assessment,Journal Article,"Macreadie,PI;Baird,ME;Trevathan-Tackett,SM;Larkum,AW;Ralph,PJ",Marine pollution bulletin,060205 Marine and Estuarine Ecology (incl Marine Ichthyology),2014,71,52,3.146,1.302,244,3,http://dro.deakin.edu.au/view/DU:30072193,FALSE,"0025326X, 18793363, 18793363, 18793363, 18793363",3592,24024,Marine Pollution Bulletin,journal,1147,Q1,136,906,2154,43607,7238,2028,"3,30","48,13",United Kingdom,Elsevier Ltd.,Pollution ,1
DU:30076228,Incorporating carbon footprints into seafood sustainability certification and eco-labels,Journal Article,"Madin, Elizabeth M.P.;Macreadie, Peter I.",Marine policy,"050205 Environmental Management,0502 Environmental Science And Management,1606 Political Science,1801 Law,050205 Environmental Management,0502 Environmental Science And Management,1606 Political Science,1801 Law",2015,12,10,2.235,1.335,189,16,http://dro.deakin.edu.au/view/DU:30076228,TRUE,0308597X,3802,27851,Marine Policy,journal,1109,Q1,73,373,955,18209,2349,928,"2,34","48,82",United Kingdom,Elsevier Ltd.,Aquatic Science ,1
DU:30076228,Incorporating carbon footprints into seafood sustainability certification and eco-labels,Journal Article,"Madin, Elizabeth M.P.;Macreadie, Peter I.",Marine policy,"050205 Environmental Management,0502 Environmental Science And Management,1606 Political Science,1801 Law,050205 Environmental Management,0502 Environmental Science And Management,1606 Political Science,1801 Law",2015,12,10,2.235,1.335,189,16,http://dro.deakin.edu.au/view/DU:30076228,TRUE,0308597X,3802,27851,Marine Policy,journal,1109,Q1,73,373,955,18209,2349,928,"2,34","48,82",United Kingdom,Elsevier Ltd.,Economics and Econometrics ,1
